ID,Name,Team,Games,Sport,Event,Medal
674,Mohamed Abdelhak Achik,Morocco,1992 Summer,Boxing,Boxing Men's Bantamweight,Bronze
680,Rita Nikolayevna Achkina,Soviet Union,1968 Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
690,Chantal Achterberg,Netherlands,2012 Summer,Rowing,Rowing Women's Coxed Eights,Bronze
690,Chantal Achterberg,Netherlands,2016 Summer,Rowing,Rowing Women's Quadruple Sculls,Silver
697,Fausto Alesio Acke (Padovini-),Sweden,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
698,Paul Douglas Ackerley,New Zealand,1976 Summer,Hockey,Hockey Men's Hockey,Gold
699,"Charles Edwin ""Charley"" Ackerly",United States,1920 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
702,Ronny Ackermann,Germany,2002 Winter,Nordic Combined,Nordic Combined Men's Team,Silver
702,Ronny Ackermann,Germany,2002 Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver
702,Ronny Ackermann,Germany,2006 Winter,Nordic Combined,Nordic Combined Men's Team,Silver
705,Donat Acklin,Switzerland-1,1992 Winter,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,Switzerland-1,1992 Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
705,Donat Acklin,Switzerland-1,1994 Winter,Bobsleigh,Bobsleigh Men's Two,Gold
705,Donat Acklin,Switzerland-1,1994 Winter,Bobsleigh,Bobsleigh Men's Four,Silver
706,Guido Acklin,Switzerland-2,1994 Winter,Bobsleigh,Bobsleigh Men's Two,Silver
716,Lautaro Germn Acosta,Argentina,2008 Summer,Football,Football Men's Football,Gold
723,Osmay Acosta Duarte,Cuba,2008 Summer,Boxing,Boxing Men's Heavyweight,Bronze
727,Martn Ral Acosta y Lara Daz,Uruguay,1952 Summer,Basketball,Basketball Men's Basketball,Bronze
745,Kazimierz Piotr Adach,Poland,1980 Summer,Boxing,Boxing Men's Lightweight,Bronze
762,"Gordon Belgum ""Gordy"" Adam",United States,1936 Summer,Rowing,Rowing Men's Coxed Eights,Gold
766,Ji Adam,Czechoslovakia,1976 Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
772,"Michael B. ""Mike"" Adam",Canada,2006 Winter,Curling,Curling Men's Curling,Gold
775,Otto Adam,Germany,1936 Summer,Fencing,"Fencing Men's Foil, Team",Bronze
777,Pierre Louis Eugne Adam,France,1948 Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
785,Dariusz Adamczuk,Poland,1992 Summer,Football,Football Men's Football,Silver
807,"Benjamin Willard ""Ben"" Adams",United States,1912 Summer,Athletics,Athletics Men's Standing High Jump,Silver
807,"Benjamin Willard ""Ben"" Adams",United States,1912 Summer,Athletics,Athletics Men's Standing Long Jump,Bronze
813,Edgar Holmes Adams,United States,1904 Summer,Swimming,Swimming Men's Plunge For Distance,Silver
818,Harry Lester Adams,United States,1912 Summer,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
830,Adrian Neil Adams,Great Britain,1980 Summer,Judo,Judo Men's Lightweight,Silver
830,Adrian Neil Adams,Great Britain,1984 Summer,Judo,Judo Men's Half-Middleweight,Silver
832,Nicola Virginia Adams,Great Britain,2012 Summer,Boxing,Boxing Women's Flyweight,Gold
832,Nicola Virginia Adams,Great Britain,2016 Summer,Boxing,Boxing Women's Flyweight,Gold
836,Platt Adams,United States,1912 Summer,Athletics,Athletics Men's Standing High Jump,Gold
836,Platt Adams,United States,1912 Summer,Athletics,Athletics Men's Standing Long Jump,Silver
837,Rachael Alexis Adams,United States,2016 Summer,Volleyball,Volleyball Women's Volleyball,Bronze
840,"Victoria ""Vicki"" Adams",Great Britain,2014 Winter,Curling,Curling Women's Curling,Bronze
846,Valerie Kasanita Adams-Vili (-Price),New Zealand,2008 Summer,Athletics,Athletics Women's Shot Put,Gold
